,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Year,Manufacturer,Total.Passengers,Percentage.Seriously.Injured.or.Killed,Percentage.Uninjured
908,20020917X02421,MIA82IA102,1982-04-20,"MIAMI, FL",United States,Incident,Minor,Lockheed,L-1011,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,152.0,VMC,Probable Cause,1982,Lockheed,152.0,0.0,100.0
1250,20020917X03236,DEN82IA090,1982-05-18,"GILLETTE, WY",United States,Incident,Minor,Gulfstream American,G-159C,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,21.0,VMC,Probable Cause,1982,Gulfstream,21.0,0.0,100.0
1283,20020917X03096,CHI82IA179,1982-05-21,"DAYTON, OH",United States,Incident,,Bac,1-11-204AF,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,48.0,IMC,Probable Cause,1982,,48.0,0.0,100.0
1295,20020917X02737,ATL82DA142,1982-05-22,"MEMPHIS, TN",United States,Non-Fatal,,Douglas,DC-9-15F,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,56.0,VMC,Probable Cause,1982,Douglas,57.0,1.7543859649122806,98.24561403508771
1343,20020917X03653,LAX82FA195,1982-05-26,"SAN FRANCISCO, CA",United States,Non-Fatal,Substantial,Douglas,DC10-10,3.0,Turbo Fan,Unknown,0.0,0.0,25.0,113.0,VMC,Probable Cause,1982,Douglas,138.0,0.0,81.88405797101449
1347,20020917X03237,DEN82IA098,1982-05-27,"NEAR GOSHEN, IN",United States,Incident,,Douglas,DC-8-61,4.0,Turbo Jet,Unknown,0.0,0.0,17.0,129.0,VMC,Probable Cause,1982,Douglas,146.0,0.0,88.35616438356165
1493,20020917X03238,DEN82IA103,1982-06-08,"GILLETTE, WY",United States,Incident,,Grumman,G-159C,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,29.0,VMC,Probable Cause,1982,,29.0,0.0,100.0
1581,20020917X02713,ANC82IA048,1982-06-16,"NEAR PORT HEIDE, AK",United States,Incident,Minor,De Havilland,DHC-6-100,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,10.0,VMC,Probable Cause,1982,,10.0,0.0,100.0
1833,20020917X04180,SEA82IA101,1982-07-05,"BOISE, ID",United States,Incident,Minor,Douglas,DC-9-31,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,84.0,VMC,Probable Cause,1982,Douglas,84.0,0.0,100.0
1834,20020917X04065,NYC82IA137,1982-07-05,"FLUSHING, NY",United States,Incident,Minor,Boeing,727-233,3.0,Turbo Fan,,0.0,0.0,0.0,74.0,VMC,Probable Cause,1982,Boeing,74.0,0.0,100.0
1871,20020917X03104,DCA82AA028,1982-07-09,"NEW ORLEANS, LA",United States,Fatal(153),Destroyed,Boeing,727-235,3.0,Turbo Fan,Unknown,153.0,9.0,0.0,7.0,VMC,Probable Cause,1982,Boeing,169.0,95.85798816568047,4.142011834319527
1969,20020917X03515,LAX82AA259,1982-07-16,"MORTON, WY",United States,Non-Fatal,Minor,Mcdonnell Douglas,DC-10-10,3.0,Turbo Fan,Unknown,0.0,7.0,19.0,142.0,VMC,Probable Cause,1982,Mcdonnell Douglas,168.0,4.166666666666666,84.52380952380952
2132,20020917X04067,NYC82IA170,1982-07-28,"FLUSHING, NY",United States,Incident,Minor,Boeing,727-231,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,129.0,IMC,Probable Cause,1982,Boeing,129.0,0.0,100.0
2133,20020917X03242,FTW82AA299,1982-07-28,"LINDALE, TX",United States,Fatal(12),Destroyed,Robertson,C-414,2.0,Reciprocating,Personal,12.0,0.0,0.0,0.0,VMC,Probable Cause,1982,,12.0,100.0,0.0
2254,20020917X03240,DEN82IA154,1982-08-05,"DENVER, CO",United States,Incident,Minor,Boeing,737-291,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,102.0,VMC,Probable Cause,1982,Boeing,102.0,0.0,100.0
2335,20020917X03898,MKC82IA143,1982-08-12,"NORTH PLATTE, NE",United States,Incident,Minor,Boeing,737-291,2.0,Turbo Fan,Unknown,0.0,0.0,33.0,0.0,IMC,Probable Cause,1982,Boeing,33.0,0.0,0.0
2451,20020917X03876,MKC82FA149,1982-08-20,"KANSAS CITY, MO",United States,Non-Fatal,Substantial,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,12.0,VMC,Probable Cause,1982,,12.0,0.0,100.0
2456,20020917X03729,LAX82IA309,1982-08-21,"HONOLULU, HI",United States,Incident,Minor,Mcdonnell Douglas,DC-10-30F,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,393.0,VMC,Probable Cause,1982,Mcdonnell Douglas,393.0,0.0,100.0
2614,20020917X04491,DCA82IA031,1982-09-02,"WASHINGTON, DC",United States,Incident,,Boeing,727,3.0,Turbo Fan,Unknown,0.0,1.0,1.0,128.0,VMC,Probable Cause,1982,Boeing,130.0,0.7692307692307693,98.46153846153847
2763,20020917X04764,LAX82FA344,1982-09-14,"GRAND CANYON, AZ",United States,Non-Fatal,Substantial,Cessna,402,2.0,Reciprocating,Unknown,0.0,1.0,6.0,3.0,VMC,Probable Cause,1982,Cessna,10.0,10.0,30.0
2950,20001218X45445,FTW83IA005,1982-10-03,"KENNER, LA",United States,Incident,,Boeing,727-225A,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,112.0,VMC,Probable Cause,1982,Boeing,112.0,0.0,100.0
3054,20020917X04780,LAX83FA002,1982-10-15,"PALM SPRINGS, CA",United States,Non-Fatal,Substantial,Swearingen,SA-226TC,2.0,Turbo Prop,Unknown,0.0,0.0,1.0,17.0,VMC,Probable Cause,1982,,18.0,0.0,94.44444444444444
3066,20020917X04782,LAX83FA012,1982-10-17,"TAFT, CA",United States,Fatal(14),Destroyed,Beech,C-45H,2.0,Reciprocating,Skydiving,14.0,0.0,0.0,0.0,VMC,Probable Cause,1982,Beech,14.0,100.0,0.0
3076,20020917X04495,DCA83IA002,1982-10-18,"HOUSTON, TX",United States,Incident,Minor,Douglas,DC-9-30,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,65.0,VMC,Probable Cause,1982,Douglas,65.0,0.0,100.0
3177,20020917X04699,FTW83LA033,1982-11-02,"AUSTIN, TX",United States,Non-Fatal,,Boeing,737-200,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,67.0,VMC,Probable Cause,1982,Boeing,68.0,1.4705882352941175,98.52941176470588
3202,20020917X04299,ATL83FA025A,1982-11-06,"ELIZABETH CITY, NC",United States,Non-Fatal,Minor,Gates Learjet,25,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,11.0,VMC,Probable Cause,1982,Learjet,11.0,0.0,100.0
3214,20020917X04299,ATL83FA025B,1982-11-06,"ELIZABETH CITY, NC",United States,Non-Fatal,Substantial,Gates Learjet,24D,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,11.0,VMC,Probable Cause,1982,Learjet,11.0,0.0,100.0
3296,20020917X04534,DEN83FA021,1982-11-18,"DENVER, CO",United States,Non-Fatal,Substantial,Mcdonald Douglas,DC-10,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,136.0,VMC,Probable Cause,1982,Douglas,136.0,0.0,100.0
3335,20020917X04669,FTW83IA044,1982-11-22,"LITTLE ROCK, AR",United States,Incident,Minor,Boeing,727-223,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,23.0,IMC,Probable Cause,1982,Boeing,23.0,0.0,100.0
3374,20020917X04910,MIA83FA036,1982-11-27,"MIAMI, FL",United States,Non-Fatal,Substantial,Boeing,707-323C,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,116.0,VMC,Probable Cause,1982,Boeing,116.0,0.0,100.0
3391,20020917X05097,NYC83LA036,1982-11-30,"NEW HAVEN, CT",United States,Non-Fatal,Substantial,Fokker,F-27-100,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,20.0,VMC,Probable Cause,1982,,20.0,0.0,100.0
3392,20020917X05142,SEA83IA027,1982-12-01,"BOISE, ID",United States,Incident,,Mcdonnell Douglas,DC-9-51,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,22.0,VMC,Probable Cause,1982,Mcdonnell Douglas,22.0,0.0,100.0
3423,20020917X04915,MIA83IA043,1982-12-06,"SARASOTA, FL",United States,Incident,Minor,Boeing,727-225,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,21.0,VMC,Probable Cause,1982,Boeing,21.0,0.0,100.0
3447,20020917X04570,DEN83LA026,1982-12-09,"DENVER, CO",United States,Non-Fatal,,Boeing,737-291,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,57.0,VMC,Probable Cause,1982,Boeing,57.0,0.0,100.0
3479,20020917X04988,MKC83IA035,1982-12-13,"WICHITA, KS",United States,Incident,Minor,Beech,100,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,10.0,VMC,Probable Cause,1982,Beech,10.0,0.0,100.0
3510,20020917X04437,CHI83IA063,1982-12-18,"PELLSTON, MI",United States,Incident,,Douglas,DC9-30,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,51.0,IMC,Probable Cause,1982,Douglas,51.0,0.0,100.0
3534,20020917X05143,SEA83IA034,1982-12-22,"KLAMATH FALLS, OR",United States,Incident,Minor,Swearingen,SA-226TC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,11.0,IMC,Probable Cause,1982,,11.0,0.0,100.0
3557,20020917X04672,FTW83IA086,1982-12-26,"MEMPHIS, TN",United States,Incident,Minor,Boeing,727-223,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,58.0,IMC,Probable Cause,1982,Boeing,58.0,0.0,100.0
3571,20020917X04343,ATL83IA085,1982-12-28,"WASHINGTON, DC",United States,Incident,,Boeing,737-222,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,73.0,VMC,Probable Cause,1982,Boeing,73.0,0.0,100.0
3578,20020917X04671,FTW83IA072,1982-12-30,"THERMAL, CA",United States,Incident,,Mcdonnell-Douglas,DC-10-30,3.0,Turbo Fan,Unknown,0.0,0.0,14.0,203.0,VMC,Probable Cause,1982,Douglas,217.0,0.0,93.54838709677419
3616,20001214X41927,ATL83LA080,1983-01-02,"LAUREL, MS",United States,Non-Fatal,Substantial,Swearingen,SA-226TC,2.0,Turbo Prop,Personal,0.0,0.0,0.0,20.0,IMC,Probable Cause,1983,,20.0,0.0,100.0
3645,20001214X42096,SEA83LA039,1983-01-07,"NEAR YAKIMA, WA",United States,Non-Fatal,,Boeing,727,3.0,Turbo Fan,Unknown,0.0,1.0,0.0,36.0,IMC,Probable Cause,1983,Boeing,37.0,2.7027027027027026,97.2972972972973
3671,20001214X41967,DCA83AA013,1983-01-09,"BRAINERD, MN",United States,Fatal(1),Substantial,Convair,580-11-A,2.0,Reciprocating,Unknown,1.0,1.0,0.0,31.0,IMC,Probable Cause,1983,Convair,33.0,6.0606060606060606,93.93939393939394
3686,20001214X41946,CHI83IA097,1983-01-13,"CHICAGO, IL",United States,Incident,Minor,Mcdonnell Douglas,DC10-10,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,201.0,VMC,Probable Cause,1983,Mcdonnell Douglas,201.0,0.0,100.0
3702,20001214X42024,LAX83IA073,1983-01-16,"LOS ANGELES, CA",United States,Incident,Minor,Boeing,747-123,4.0,Turbo Fan,Personal,0.0,0.0,0.0,412.0,VMC,Probable Cause,1983,Boeing,412.0,0.0,100.0
3721,20001214X42013,LAX83FA076,1983-01-19,"SAN FRANCISCO, CA",United States,Fatal(1),Minor,Beech,C-99,2.0,Turbo Prop,Unknown,1.0,0.0,0.0,10.0,VMC,Probable Cause,1983,Beech,11.0,9.090909090909092,90.9090909090909
3729,20001214X41993,FTW83IA094,1983-01-20,"LUBBOCK, TX",United States,Incident,,Boeing,B-737-200,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,73.0,IMC,Probable Cause,1983,Boeing,73.0,0.0,100.0
3744,20001214X42025,LAX83IA080,1983-01-23,"SAN DIEGO, CA",United States,Incident,Minor,Boeing,767-231,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,159.0,VMC,Probable Cause,1983,Boeing,159.0,0.0,100.0
3813,20001214X42149,CHI83IA103,1983-02-04,"MILWAUKEE, WI",United States,Incident,Minor,Embraer,EMB-110,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,18.0,VMC,Probable Cause,1983,Embraer,18.0,0.0,100.0
3836,20001214X42173,DCA83IA016,1983-02-07,"GREER, SC",United States,Incident,Minor,Mcdonnell Douglas,DC-9-50,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,39.0,IMC,Probable Cause,1983,Mcdonnell Douglas,39.0,0.0,100.0
3893,20001214X42267,MIA83IA075,1983-02-15,"MIAMI, FL",United States,Incident,Minor,Boeing,B-727-200,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,74.0,VMC,Probable Cause,1983,Boeing,74.0,0.0,100.0
3969,20001214X42279,MKC83FA072,1983-02-24,"ST. LOUIS, MO",United States,Non-Fatal,Minor,Swearingen,SA 226TC,2.0,Turbo Prop,Unknown,0.0,1.0,0.0,9.0,VMC,Probable Cause,1983,,10.0,10.0,90.0
4080,20001214X42476,LAX83IA140,1983-03-11,"MINA, NV",United States,Incident,Minor,Mcdonnell Douglas,DC 8-61,4.0,Turbo Jet,Unknown,0.0,0.0,0.0,186.0,VMC,Probable Cause,1983,Mcdonnell Douglas,186.0,0.0,100.0
4099,20001214X42548,NYC83FA074,1983-03-12,"ALBANY, NY",United States,Non-Fatal,Substantial,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,0.0,0.0,8.0,6.0,IMC,Probable Cause,1983,,14.0,0.0,42.857142857142854
4139,20001214X42477,LAX83IA147,1983-03-17,"SALT LAKE CITY, UT",United States,Incident,,Douglas,DC-9-10,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,84.0,IMC,Probable Cause,1983,Douglas,84.0,0.0,100.0
4149,20001214X42478,LAX83IA149B,1983-03-18,"LOS ANGELES, CA",United States,Incident,Minor,Lockheed,L-1011,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,588.0,VMC,Probable Cause,1983,Lockheed,588.0,0.0,100.0
4150,20001214X42478,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",United States,Incident,Minor,Boeing,747,4.0,Turbo Fan,,0.0,0.0,0.0,588.0,VMC,Probable Cause,1983,Boeing,588.0,0.0,100.0
4178,20001214X42552,NYC83IA080,1983-03-21,"BLUE BELL, PA",United States,Incident,Minor,Britten-Norman,BN-2 MARK III,3.0,Reciprocating,Unknown,0.0,0.0,2.0,11.0,IMC,Probable Cause,1983,,13.0,0.0,84.61538461538461
4180,20001214X42400,DEN83IA083,1983-03-21,"DENVER, CO",United States,Incident,Minor,Boeing,737-200,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,82.0,VMC,Probable Cause,1983,Boeing,82.0,0.0,100.0
4189,20001214X42387,DCA83AA021,1983-03-23,"CASPER, WY",United States,Non-Fatal,Minor,Boeing,737-2H4,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,95.0,VMC,Probable Cause,1983,Boeing,96.0,1.0416666666666665,98.95833333333334
4196,20001214X42541,MKC83IA200,1983-03-24,"SPRINGFIELD, MO",United States,Incident,Minor,Douglas,DC-3,2.0,Reciprocating,Unknown,0.0,0.0,0.0,29.0,VMC,Probable Cause,1983,Douglas,29.0,0.0,100.0
4244,20001214X42540,MKC83IA083,1983-03-30,"DES MOINES, IA",United States,Incident,Minor,Boeing,727-222,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,44.0,IMC,Probable Cause,1983,Boeing,44.0,0.0,100.0
4283,20001214X42719,LAX83IA174,1983-04-02,"20N BRYCE, UT",United States,Incident,,Douglas,DC-9-82,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,146.0,VMC,Probable Cause,1983,Douglas,146.0,0.0,100.0
4287,20001214X42592,ATL83FA328,1983-04-02,"BALTIMORE, MD",United States,Non-Fatal,,Boeing,707-323C,4.0,Turbo Fan,Unknown,0.0,1.0,0.0,190.0,VMC,Probable Cause,1983,Boeing,191.0,0.5235602094240838,99.47643979057592
4350,20001214X42620,CHI83IA162,1983-04-10,"MINNEAPOLIS, MN",United States,Incident,Minor,Douglas,DC-8-71,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,245.0,VMC,Probable Cause,1983,Douglas,245.0,0.0,100.0
4411,20001214X42741,LAX83LA200,1983-04-16,"DAVIS, CA",United States,Non-Fatal,Substantial,Beech,E-18S,2.0,Reciprocating,Other Work Use,0.0,0.0,0.0,13.0,VMC,Probable Cause,1983,Beech,13.0,0.0,100.0
4449,20001214X42684,FTW83LA191,1983-04-19,"DALLAS, TX",United States,Non-Fatal,Substantial,Beech,65-90,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,10.0,VMC,Probable Cause,1983,Beech,10.0,0.0,100.0
4580,20001214X43070,MIA83AA136,1983-05-05,"MIAMI, FL",United States,Incident,,Lockheed,L-1011,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,172.0,VMC,Probable Cause,1983,Lockheed,172.0,0.0,100.0
4735,20001214X43089,MKC83FA112,1983-05-20,"ST. LOUIS, MO",United States,Non-Fatal,Substantial,Boeing,727-100,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,52.0,VMC,Probable Cause,1983,Boeing,52.0,0.0,100.0
4764,20001214X42949,DEN83IA119,1983-05-23,"COLORADO SPRING, CO",United States,Incident,Minor,Boeing,727-31H,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,25.0,VMC,Probable Cause,1983,Boeing,25.0,0.0,100.0
4765,20001214X42871,ATL83IA197,1983-05-23,"MEMPHIS, TN",United States,Incident,,Boeing,B-737-222,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,59.0,VMC,Probable Cause,1983,Boeing,59.0,0.0,100.0
4770,20001214X43095,MKC83IA115,1983-05-24,"ST. LOUIS, MO",United States,Incident,Minor,Lockheed,L-1011-385-1,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,131.0,VMC,Probable Cause,1983,Lockheed,131.0,0.0,100.0
4791,20001214X42899,CHI83IA228,1983-05-26,"CLARION, PA",United States,Incident,,Mcdonnell Douglas,DC-10-40,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,151.0,VMC,Probable Cause,1983,Mcdonnell Douglas,151.0,0.0,100.0
4799,20001214X43096,MKC83IA116,1983-05-27,"KANSAS CITY, MO",United States,Incident,Minor,Lockheed,L-1011-385-1,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,180.0,VMC,Probable Cause,1983,Lockheed,180.0,0.0,100.0
4800,20001214X42872,ATL83IA201,1983-05-27,"CHARLOTTE, NC",United States,Incident,Minor,Boeing,727-200,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,150.0,VMC,Probable Cause,1983,Boeing,150.0,0.0,100.0
4810,20001214X43027,LAX83IA257,1983-05-28,"LUKE AFB, AZ",United States,Incident,,Douglas,DC-9-31,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,86.0,VMC,Probable Cause,1983,Douglas,86.0,0.0,100.0
4875,20001214X43173,ANC83IA089,1983-06-01,"MEKORYUK, AK",United States,Incident,,Boeing Vertol,234ER,2.0,Turbo Shaft,Business,0.0,0.0,0.0,19.0,IMC,Probable Cause,1983,Boeing,19.0,0.0,100.0
4888,20001214X43285,DCA83AA028,1983-06-02,"COVINGTON, KY",United States,Fatal(23),Substantial,Douglas,DC-9-32,2.0,Turbo Fan,Unknown,23.0,3.0,13.0,7.0,VMC,Probable Cause,1983,Douglas,46.0,56.52173913043478,15.217391304347828
4889,20001214X43534,SEA83IA116,1983-06-03,"PORTLAND, OR",United States,Incident,,Boeing,727-200,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,133.0,VMC,Probable Cause,1983,Boeing,133.0,0.0,100.0
4899,20001214X43392,LAX83LA262,1983-06-04,"YUMA, AZ",United States,Non-Fatal,,Mcdonnell Douglas,DC-10-10,3.0,Turbo Fan,Unknown,0.0,1.0,0.0,240.0,VMC,Probable Cause,1983,Mcdonnell Douglas,241.0,0.4149377593360996,99.5850622406639
4977,20001214X43286,DCA83AA029,1983-06-08,"COLD BAY, AK",United States,Non-Fatal,Substantial,Lockheed,188C,4.0,Turbo Prop,Unknown,0.0,0.0,0.0,15.0,VMC,Probable Cause,1983,Lockheed,15.0,0.0,100.0
5013,20001214X43232,CHI83FA251,1983-06-11,"CHICAGO, IL",United States,Non-Fatal,Substantial,Boeing,727-222A,3.0,Turbo Fan,Unknown,0.0,2.0,15.0,125.0,VMC,Probable Cause,1983,Boeing,142.0,1.4084507042253522,88.02816901408451
5065,20001214X43238,CHI83IA263,1983-06-16,"CHARLOTTE, NC",United States,Incident,Minor,Boeing,737-201,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,102.0,IMC,Probable Cause,1983,Boeing,102.0,0.0,100.0
5119,20001214X43239,CHI83IA269B,1983-06-20,"CHICAGO, IL",United States,Incident,Minor,Boeing,B-747,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,440.0,VMC,Probable Cause,1983,Boeing,440.0,0.0,100.0
5120,20001214X43239,CHI83IA269A,1983-06-20,"CHICAGO, IL",United States,Incident,Minor,Boeing,B-747,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,440.0,VMC,Probable Cause,1983,Boeing,440.0,0.0,100.0
5129,20001214X43270,CHI83LA272,1983-06-21,"MILWAUKEE, WI",United States,Non-Fatal,Minor,Douglas,DC-9-30,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,9.0,VMC,Probable Cause,1983,Douglas,10.0,10.0,90.0
5163,20001214X43390,LAX83IA302,1983-06-24,"LAS VEGAS, NV",United States,Incident,Minor,Mcdonnell Douglas,DC9-32,2.0,Turbo Jet,Unknown,0.0,0.0,6.0,86.0,VMC,Probable Cause,1983,Mcdonnell Douglas,92.0,0.0,93.47826086956522
