,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Manufacturer,Year
89,20020917X02486,NYC82DA022,1982-01-15,"BUTLER, PA",United States,Non-Fatal,Substantial,Cessna,310,2.0,Reciprocating,Personal,,,,2.0,VMC,Probable Cause,Cessna,1982
94,20020917X01780,CHI82DA027,1982-01-15,"ANOKA, MN",United States,Non-Fatal,Substantial,Beech,C-45H,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
101,20020917X02159,LAX82DA042,1982-01-17,"HONOLULU, HI",United States,Non-Fatal,Destroyed,Convair,440,2.0,Reciprocating,Unknown,0.0,0.0,2.0,1.0,VMC,Probable Cause,Convair,1982
104,20020917X01721,ATL82FA035,1982-01-17,"PICAYUNE, MS",United States,Fatal(2),Destroyed,Beech,F50,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
127,20020917X01806,CHI82DA056,1982-01-19,"NEAR LANSING, MI",United States,Non-Fatal,Substantial,Cessna,340A,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,UNK,Probable Cause,Cessna,1982
132,20020917X02258,LAX82FA048,1982-01-20,"CHERRY VALLEY, CA",United States,Fatal(2),Destroyed,Beech,58,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1982
139,20020917X02467,MKC82FA019,1982-01-21,"NORTH KANSAS CI, MO",United States,Fatal(1),Destroyed,Cessna,402A,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
140,20020917X02399,MIA82FA037,1982-01-21,"15NM W. OPA LOC, FL",United States,Non-Fatal,Destroyed,Douglas,DC-3,2.0,Reciprocating,Unknown,0.0,0.0,2.0,0.0,VMC,Probable Cause,Douglas,1982
155,20020917X01909,DCA82AA013,1982-01-23,"BOSTON, MA",United States,Fatal(2),Destroyed,Mcdonnell Douglas,DC-10-30,3.0,Turbo Fan,Unknown,2.0,4.0,24.0,182.0,IMC,Probable Cause,Mcdonnell Douglas,1982
185,20020917X02579,SEA82DA021,1982-01-28,"SUNRIVER, OR",United States,Non-Fatal,Substantial,Cessna,340A,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
214,20020917X02480,NYC82AA028,1982-02-01,"GROTON, CT",United States,Non-Fatal,Destroyed,Beech,99,2.0,Turbo Prop,Unknown,0.0,5.0,2.0,0.0,IMC,Probable Cause,Beech,1982
230,20020917X01910,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",United States,Non-Fatal,Minor,Mcdonnell-Douglas,DC-10-10,3.0,Turbo Fan,Unknown,0.0,1.0,0.0,154.0,IMC,Probable Cause,Douglas,1982
280,20020917X02174,LAX82DA066,1982-02-09,"CARLSBAD, CA",United States,Non-Fatal,Substantial,Cessna,310R,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
282,20020917X01743,ATL82FID06,1982-02-09,"NEWPORT NEWS, VA",United States,Non-Fatal,Substantial,Cessna,402B,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,IMC,Probable Cause,Cessna,1982
284,20020917X02416,MIA82FLD16,1982-02-10,"LAKE WALES, FL",United States,Non-Fatal,Destroyed,Cessna,310,2.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
285,20020917X02262,LAX82FA069,1982-02-10,"TWENTYNINE PALM, CA",United States,Fatal(2),Destroyed,Beech,95-C55,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1982
287,20020917X01924,DEN82DA030,1982-02-10,"SPANISH FORK, UT",United States,Non-Fatal,Substantial,Cessna,421B,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
288,20020917X01725,ATL82FA052,1982-02-10,"JESSUP, GA",United States,Non-Fatal,Substantial,Cessna,401,2.0,Reciprocating,Business,0.0,0.0,0.0,5.0,VMC,Probable Cause,Cessna,1982
290,20020917X02403,MIA82FA045,1982-02-11,"MIAMI, FL",United States,Fatal(2),Destroyed,Cessna,421,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
320,20020917X02336,LAX82IA075,1982-02-15,"ONTARIO, CA",United States,Incident,Minor,Boeing,B737-2H4,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,119.0,IMC,Probable Cause,Boeing,1982
321,20020917X02012,FTW82DA059,1982-02-15,"FARMERVILLE, LA",United States,Non-Fatal,Destroyed,Cessna,310D,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
335,20020917X01807,CHI82DA057,1982-02-16,"COLUMBUS, OH",United States,Non-Fatal,Substantial,Beech,90,2.0,Turbo Prop,Personal,0.0,0.0,0.0,4.0,IMC,Probable Cause,Beech,1982
344,20020917X02404,MIA82FA051,1982-02-17,"MIAMI, FL",United States,Non-Fatal,Substantial,Boeing,727-235,3.0,Turbo Fan,Unknown,0.0,1.0,1.0,51.0,VMC,Probable Cause,Boeing,1982
346,20020917X02630,SEA82IA029,1982-02-18,"BOISE, ID",United States,Incident,Minor,Embraer,EMB-11OP1,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,16.0,VMC,Probable Cause,Embraer,1982
358,20020917X01808,CHI82DA058,1982-02-19,"ST. CHARLES, IL",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,Probable Cause,Beech,1982
361,20020917X01885,CHI82FA059,1982-02-19,"OSHKOSH, WI",United States,Non-Fatal,Substantial,Cessna,404,2.0,Reciprocating,Unknown,0.0,0.0,0.0,7.0,IMC,Probable Cause,Cessna,1982
371,20020917X01811,CHI82DA062,1982-02-20,"HUNTINGTON, IN",United States,Non-Fatal,Substantial,Beech,56TC,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
390,20020917X02509,NYC82DA049,1982-02-22,"WESTERLY, RI",United States,Non-Fatal,Substantial,Cessna,421C,2.0,Reciprocating,Personal,0.0,0.0,0.0,6.0,VMC,Probable Cause,Cessna,1982
404,20020917X02272,LAX82FA085,1982-02-24,"HURON, CA",United States,Fatal(1),Destroyed,Beech,BE-95-C55,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
409,20020917X02501,NYC82DA040,1982-02-24,"DOYLESTOWN, PA",United States,Non-Fatal,Substantial,Cessna,310Q,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
410,20020917X01820,CHI82DA071,1982-02-24,"BRYAN, OH",United States,Non-Fatal,Substantial,Cessna,414,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
414,20020917X02030,FTW82DA080,1982-02-25,"EUNICE, LA",United States,Non-Fatal,Substantial,Cessna,421B,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
417,20020917X02112,FTW82FPA11,1982-02-25,"DALLAS, TX",United States,Non-Fatal,Substantial,Beech,D18S,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,IMC,Probable Cause,Beech,1982
419,20020917X01770,ATL82IA060,1982-02-26,"ATLANTA, GA",United States,Incident,Minor,Beech,B90,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,3.0,IMC,Probable Cause,Beech,1982
431,20020917X02323,LAX82FVG18,1982-02-27,"SACRAMENTO, CA",United States,Non-Fatal,Substantial,Cessna,320C,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
474,20020917X02359,MIA82DA063,1982-03-04,"KEY WEST, FL",United States,Non-Fatal,Substantial,Cessna,310K,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
480,20020917X02185,LAX82DA093,1982-03-05,"MESA, AZ",United States,Non-Fatal,Substantial,Cessna,P337H,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
481,20020917X02033,FTW82DA083,1982-03-05,"HOT SPRINGS, AR",United States,Non-Fatal,Substantial,Beech,B58,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
493,20020917X01836,CHI82DA089,1982-03-06,"FREEMONT, MI",United States,Non-Fatal,Substantial,Cessna,310,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
513,20020917X02144,FTW82FRG24,1982-03-08,"CHARLOTTE, TX",United States,Non-Fatal,Substantial,Beech,E18S,2.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,UNK,Probable Cause,Beech,1982
535,20020917X01716,ATL82DKW06B,1982-03-11,"NASHVILLE, TN",United States,Non-Fatal,Minor,Beech,95-55,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,Probable Cause,Beech,1982
536,20020917X02361,MIA82DA067,1982-03-11,"TALLAHASSEE, FL",United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
539,20020917X01716,ATL82DKW06A,1982-03-11,"NASHVILLE, TN",United States,Non-Fatal,Substantial,Cessna,310,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,Probable Cause,Cessna,1982
547,20020917X02196,LAX82DA105,1982-03-12,"CHINO, CA",United States,Non-Fatal,Substantial,Cessna,501,2.0,Turbo Jet,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
558,20020917X02154,LAX82AA106A,1982-03-13,"GLENDALE, AZ",United States,Fatal(6),Destroyed,Boeing,KC-135A,4.0,Turbo Jet,Unknown,6.0,0.0,0.0,0.0,UNK,Probable Cause,Boeing,1982
568,20020917X01833,CHI82DA086,1982-03-13,"BRYAN, OH",United States,Non-Fatal,Substantial,Beech,200,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,4.0,VMC,Probable Cause,Beech,1982
574,20020917X02042,FTW82DA093,1982-03-14,"MCALLEN, TX",United States,Fatal(1),Destroyed,Beech,C-45H,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
588,20020917X02301,LAX82FUJ32,1982-03-16,"TUCSON, AZ",United States,Fatal(1),Destroyed,Beech,58,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
589,20020917X02274,LAX82FA109,1982-03-16,"12 N.E. BURBANK, CA",United States,Fatal(3),Destroyed,Cessna,340A,2.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
590,20020917X02152,FTW82IA095,1982-03-16,"CHICKASHA, OK",United States,Incident,Minor,Cessna,402C,2.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
591,20020917X02593,SEA82DA038,1982-03-16,"IDAHO FALLS, ID",United States,Non-Fatal,Substantial,Cessna,340,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,Probable Cause,Cessna,1982
607,20020917X02276,LAX82FA111,1982-03-18,"SUNFLOWER, AZ",United States,Fatal(5),Destroyed,Cessna,401,2.0,Reciprocating,Unknown,5.0,2.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
609,20020917X01886,CHI82FA091,1982-03-18,"RICHMOND, IN",United States,Fatal(1),Destroyed,Cessna,421,2.0,Reciprocating,Business,1.0,2.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
619,20020917X02046,FTW82DA098,1982-03-19,"WEATHERFORD, OK",United States,Non-Fatal,Substantial,Cessna,421C,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
652,20020917X02048,FTW82DA100,1982-03-22,"WEST MEMPHIS, AR",United States,Non-Fatal,Substantial,Cessna,310B,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
655,20020917X01887,CHI82FA096,1982-03-23,"JACKSON, MI",United States,Non-Fatal,Destroyed,Cessna,414,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
663,20020917X01888,CHI82FA098,1982-03-23,"KALAMAZOO, MI",United States,Non-Fatal,Substantial,Beech,65-A90,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
669,20020917X02279,LAX82FA119,1982-03-24,"MARANA, AZ",United States,Non-Fatal,Substantial,Boeing,707-123B,4.0,Turbo Jet,Ferry,0.0,0.0,0.0,7.0,VMC,Probable Cause,Boeing,1982
677,20020917X01900,CHI82IA102,1982-03-25,"KALAMAZO, MI",United States,Incident,Minor,Beech,65-88,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
685,20020917X01690,ATL82DA084,1982-03-25,"RIDGELAND, SC",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Personal,0.0,0.0,1.0,3.0,VMC,Probable Cause,Beech,1982
687,20020917X02100,FTW82FA103,1982-03-26,"MAGDALENA, NM",United States,Fatal(6),Destroyed,Beech,58,2.0,Reciprocating,Personal,6.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
693,20020917X02206,LAX82DA122,1982-03-26,"YUBA CITY, CA",United States,Non-Fatal,Substantial,Cessna,310Q,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,Cessna,1982
699,20020917X02054,FTW82DA107,1982-03-27,"AFTON, OK",United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
701,20020917X01637,ANC82DA028,1982-03-27,"ANCHORAGE, AK",United States,Non-Fatal,Substantial,Cessna,310D,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
707,20020917X01638,ANC82DA029,1982-03-28,"WULIK RIVER STR, AK",United States,Non-Fatal,Substantial,Curtiss-Wright,C-46A,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Curtiss,1982
709,20020917X02101,FTW82FA108,1982-03-29,"HUGHES, AR",United States,Fatal(1),Destroyed,Gulfstream American,690C,2.0,Turbo Prop,Ferry,1.0,0.0,0.0,0.0,VMC,Probable Cause,Gulfstream,1982
745,20020917X02208,LAX82DA124,1982-04-03,"NAPA, CA",United States,Non-Fatal,Destroyed,Beech,D55,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
760,20020917X01903,CHI82IA113,1982-04-05,"WAUKEGAN, IL",United States,Incident,Minor,Cessna,402B,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,IMC,Probable Cause,Cessna,1982
772,20020917X02549,NYC82FGM10,1982-04-06,"SCANDIA, PA",United States,Fatal(2),Destroyed,Beech,E55,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1982
774,20020917X01972,DEN82FA056,1982-04-06,"MISSOULA, MT",United States,Fatal(3),Destroyed,Cessna,320F,2.0,Reciprocating,Executive/corporate,3.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
778,20020917X02409,MIA82FA092,1982-04-06,"FT. LAUDERDALE, FL",United States,Non-Fatal,Substantial,Cessna,421B,2.0,Reciprocating,Unknown,0.0,0.0,1.0,2.0,VMC,Probable Cause,Cessna,1982
781,20020917X02523,NYC82DA069,1982-04-07,"PITTSBURGH, PA",United States,Non-Fatal,Substantial,Cessna,310,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
782,20020917X02457,MKC82DA054,1982-04-07,"LINCOLN, NE",United States,Non-Fatal,Substantial,Cessna,340A,2.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,IMC,Probable Cause,Cessna,1982
785,20020917X01697,ATL82DA096,1982-04-07,"WINSTON-SALEM, NC",United States,Non-Fatal,Substantial,Beech,65-A90,2.0,Turbo Prop,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
796,20020917X01904,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",United States,Incident,Minor,Boeing,727-200,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,108.0,IMC,Probable Cause,Boeing,1982
878,20020917X01705,ATL82DA107,1982-04-17,"JACKSONVILLE, NC",United States,Non-Fatal,Substantial,Cessna,150,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
888,20020917X01891,CHI82FA127,1982-04-18,"MIDDLEFIELD, OH",United States,Fatal(5),Destroyed,Cessna,411,2.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
890,20020917X01774,ATL82IA109,1982-04-18,"ASHEVILLE, NC",United States,Incident,Minor,Beech,BE-99,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,11.0,VMC,Probable Cause,Beech,1982
901,20020917X02079,FTW82DA139,1982-04-18,"AUSTIN, TX",United States,Non-Fatal,Substantial,Boeing,727-200,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,68.0,VMC,Probable Cause,Boeing,1982
908,20020917X02421,MIA82IA102,1982-04-20,"MIAMI, FL",United States,Incident,Minor,Lockheed,L-1011,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,152.0,VMC,Probable Cause,Lockheed,1982
916,20020917X02471,MKC82FA058,1982-04-21,"CLIMAX SPRINGS, MO",United States,Fatal(1),Destroyed,Beech,B95,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
923,20020917X01707,ATL82DA111,1982-04-21,"PAINTSVILLE, KY",United States,Non-Fatal,Substantial,Cessna,320A,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
942,20020917X02083,FTW82DA143,1982-04-23,"GARLAND, TX",United States,Non-Fatal,Substantial,Beech,A60,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
966,20020917X01748,ATL82FKG12,1982-04-25,"ATLANTA, GA",United States,Non-Fatal,Destroyed,Cessna,421C,2.0,Reciprocating,Business,0.0,2.0,1.0,0.0,IMC,Probable Cause,Cessna,1982
969,20020917X02393,MIA82DA112,1982-04-25,"GAINESVILLE, FL",United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Instructional,0.0,0.0,0.0,4.0,VMC,Probable Cause,Beech,1982
987,20020917X01744,ATL82FID07,1982-04-26,"HOT SPRINGS, VA",United States,Non-Fatal,Substantial,Beech,90,2.0,Turbo Prop,Personal,0.0,0.0,0.0,1.0,IMC,Probable Cause,Beech,1982
998,20020917X02109,FTW82FA155,1982-04-28,"HOUSTON, TX",United States,Fatal(1),Destroyed,Cessna,411A,2.0,Reciprocating,Ferry,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
999,20020917X01976,DEN82FA074,1982-04-28,"HAKALAU, HI",United States,Fatal(2),Destroyed,Beech,E18S,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
1067,20020917X03058,CHI82FA146,1982-05-02,"CHICAGO, IL",United States,Non-Fatal,Substantial,Beech,56TC,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,5.0,VMC,Probable Cause,Beech,1982
1087,20020917X03241,FTW82AA167,1982-05-05,"CHARLOTTE, TX",United States,Fatal(7),Destroyed,Beech,B90,2.0,Turbo Prop,Personal,7.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
1093,20020917X03100,DCA82AA020,1982-05-06,"NEAR SAVANNAH, GA",United States,Fatal(4),Destroyed,Gates Learjet,23,2.0,Turbo Jet,Business,4.0,0.0,0.0,0.0,VMC,Probable Cause,Learjet,1982
1099,20020917X03112,DEN82DA079,1982-05-06,"BISMARCK, ND",United States,Non-Fatal,Substantial,Cessna,402A,2.0,Reciprocating,Unknown,0.0,0.0,0.0,8.0,VMC,Probable Cause,Cessna,1982
1172,20020917X03894,MKC82IA079,1982-05-13,"ST. LOUIS, MO",United States,Incident,Minor,Cessna,402B,2.0,Reciprocating,Unknown,0.0,0.0,0.0,8.0,VMC,Probable Cause,Cessna,1982
1192,20020917X02729,ATL82DA132,1982-05-14,"ALLENDALE, SC",United States,Non-Fatal,Substantial,Cessna,310,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
1199,20020917X03496,FTW82FRG29,1982-05-15,"EAGLE PASS, TX",United States,Fatal(4),Destroyed,Beech,95-C55,2.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
1250,20020917X03236,DEN82IA090,1982-05-18,"GILLETTE, WY",United States,Incident,Minor,Gulfstream American,G-159C,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,21.0,VMC,Probable Cause,Gulfstream,1982
1282,20020917X03481,FTW82FQG18,1982-05-21,"SAN ANGELO, TX",United States,Fatal(1),Destroyed,Cessna,T337B,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
1306,20020917X02891,ATL82IA139,1982-05-23,"CHARLOTTE, NC",United States,Incident,Minor,Cessna,404,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
1328,20020917X03919,NYC82DA105,1982-05-25,"FARMINGDALE, NY",United States,Non-Fatal,Substantial,Beech,B95,2.0,Reciprocating,Ferry,0.0,0.0,0.0,2.0,IMC,Probable Cause,Beech,1982
1331,20020917X02936,CHI82DA190,1982-05-25,"EVANSVILLE, IN",United States,Non-Fatal,Substantial,Cessna,310R,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,Cessna,1982
1333,20020917X02930,CHI82DA183,1982-05-25,"HOLLAND, MI",United States,Non-Fatal,Substantial,Cessna,310R,2.0,Reciprocating,Unknown,0.0,0.0,0.0,6.0,VMC,Probable Cause,Cessna,1982
1339,20020917X03310,FTW82DA232,1982-05-26,"OAK GROVE, LA",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,Beech,1982
1343,20020917X03653,LAX82FA195,1982-05-26,"SAN FRANCISCO, CA",United States,Non-Fatal,Substantial,Douglas,DC10-10,3.0,Turbo Fan,Unknown,0.0,0.0,25.0,113.0,VMC,Probable Cause,Douglas,1982
1345,20020917X03654,LAX82FA196,1982-05-27,"CHANDLER, AZ",United States,Fatal(8),Destroyed,Cessna,320D,2.0,Reciprocating,Personal,8.0,0.0,0.0,0.0,VMC,Probable Cause,Cessna,1982
1364,20020917X03102,DCA82AA023,1982-05-28,"COLUMBIA, MD",United States,Fatal(5),Destroyed,Beech,D95A,2.0,Reciprocating,Public Aircraft,5.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1982
1382,20020917X02937,CHI82DA191,1982-05-29,"DETROIT, MI",United States,Non-Fatal,Substantial,Convair,240,2.0,Reciprocating,,0.0,0.0,0.0,3.0,IMC,Probable Cause,Convair,1982
1389,20020917X03088,CHI82FEE14,1982-05-29,"SANDWICH, IL",United States,Non-Fatal,Substantial,Douglas,DC-3A,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Douglas,1982
1424,20020917X03128,DEN82DA100,1982-06-01,"GUNNISON, CO",United States,Non-Fatal,Substantial,Cessna,T337C,2.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Probable Cause,Cessna,1982
1436,20020917X04019,NYC82FA115,1982-06-03,"ITHACA, NY",United States,Fatal(5),Destroyed,Beechcraft,B-55,2.0,Reciprocating,Executive/corporate,5.0,0.0,0.0,0.0,VMC,Probable Cause,Beech,1982
1439,20020917X03290,FTW82DA211,1982-06-03,"BEEVILLE, TX",United States,Non-Fatal,Substantial,Beech,D18S,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,Beech,1982
1465,20020917X03783,MIA82FA128,1982-06-06,"ST. PETERSBURG, FL",United States,Non-Fatal,Destroyed,Douglas,DC-3C,2.0,Reciprocating,Unknown,0.0,5.0,0.0,0.0,VMC,Probable Cause,Douglas,1982
1467,20020917X02892,ATL82IA154,1982-06-06,"MACON, GA",United States,Incident,Minor,Beech,18,2.0,Reciprocating,Ferry,0.0,0.0,0.0,2.0,VMC,Probable Cause,Beech,1982
1475,20020917X02946,CHI82DA201,1982-06-06,"STEVENS POINT, WI",United States,Non-Fatal,Substantial,Cessna,140,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
